epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,2535.51,1.05952,0.52405,0.89206,0.89752,0.87223,0.92675,0.6149,1.08113,0.50689,0.90781,0.000214046,0.000214046,0.000214046
142,2553.16,1.06039,0.52201,0.88941,0.89972,0.87632,0.92837,0.61402,1.08041,0.50833,0.90664,0.000207792,0.000207792,0.000207792
143,2571.18,1.06251,0.52596,0.89177,0.90016,0.87853,0.92865,0.61452,1.08425,0.50644,0.90728,0.000201611,0.000201611,0.000201611
144,2589.88,1.06198,0.52288,0.88713,0.89844,0.8741,0.92731,0.61512,1.08027,0.50546,0.90903,0.000195505,0.000195505,0.000195505
145,2609.03,1.05563,0.5179,0.88913,0.89743,0.87257,0.92709,0.61285,1.08201,0.50622,0.90887,0.000189475,0.000189475,0.000189475
146,2629.37,1.05946,0.51936,0.88753,0.90496,0.87019,0.92622,0.61449,1.07712,0.50511,0.90885,0.000183523,0.000183523,0.000183523
147,2648.16,1.06446,0.52726,0.89096,0.90468,0.87313,0.92821,0.61545,1.07759,0.50975,0.90793,0.000177651,0.000177651,0.000177651
148,2666.85,1.05426,0.51822,0.88917,0.89825,0.87632,0.92837,0.61585,1.08372,0.50797,0.91175,0.000171859,0.000171859,0.000171859
149,2686.7,1.04974,0.51797,0.8882,0.91096,0.868,0.92667,0.61503,1.08367,0.50876,0.91122,0.000166149,0.000166149,0.000166149
150,2705,1.051,0.51635,0.88755,0.9075,0.86814,0.92725,0.61378,1.08298,0.50932,0.91102,0.000160523,0.000160523,0.000160523
151,2722.11,1.04762,0.51168,0.88369,0.90517,0.86829,0.9293,0.61552,1.08035,0.50476,0.90926,0.000154982,0.000154982,0.000154982
152,2739.41,1.05757,0.51647,0.88544,0.90218,0.87359,0.92862,0.61353,1.08227,0.50699,0.91159,0.000149527,0.000149527,0.000149527
